trip_id,driver_id,distance_km,fare_amount,predicted_fare,deviation
f574ed1d-900f-4141-a279-2c7172ef468c,32,29.68,33.27,90.85369194926072,57.58369194926072
59b37083-3038-4e36-9e73-948990845c68,17,32.71,83.14,90.10887536419587,6.968875364195867
8f6ef34c-ce7e-418f-ac4f-dcc272508828,28,24.7,24.96,92.07784594055542,67.11784594055541
8efe20b8-b339-4023-aff9-bcfaa614b0e4,61,23.85,8.97,92.28678788686075,83.31678788686075
b4e6c2bd-c345-4e09-b642-01229138ecf9,72,3.05,34.11,97.3997202199792,63.2897202199792
34f99255-c12f-4114-b3a8-667e031c58fe,94,15.45,111.07,94.35162594446628,16.718374055533715
fe1bc96d-4a24-4fe1-99b2-37985b2df517,91,19.85,81.96,93.27004410476815,11.310044104768153
9dfa49cf-8642-49b3-b3ba-0dabb447aa20,85,34.02,5.79,89.7868589528312,83.99685895283119
ffdbc898-d691-473a-8e95-29a18e971fa5,83,9.38,109.04,95.84371725514075,13.19628274485926
d74b10a8-2d85-45fe-8e7e-2598269ffe78,100,24.97,54.42,92.01147614584667,37.59147614584667
